service_id,service_type_id,client_name,hours,service_date,service_time,hourly_rate,total_revenue,branch_id,department,service_description
4146,8,Wiley-Mendoza,2,11/05/2023,13:23:24,300,600,EM,Audit,Legal Consultation
4147,7,"Newton, Williams and",7,08/03/2023,01:10:56,1500,10500,EM,Audit,Market Analysis
4148,7,"Barrera, Schmidt and",1,03/11/2023,16:10:55,1500,1500,EM,Audit,Quarterly Review
4149,4,Lawrence-Davis,1,21/03/2023,04:14:45,1500,1500,AM,Audit,Legal Consultation
4150,5,Peters Group,3,27/08/2023,18:18:52,600,1800,EM,Advisory,Quarterly Review
4151,8,"Jackson, Mendoza and",1,14/03/2023,17:58:36,300,300,EA,Management,Annual Tax Filing
4152,7,Hudson and Sons,7,14/09/2023,22:56:29,1500,10500,EM,Tax,Annual Tax Filing
4153,6,"Weeks, Wallace and M",1,06/02/2023,11:14:34,900,900,AM,Management,Market Analysis
4154,1,"Bush, Jones and Park",1,02/02/2023,21:04:36,600,600,AP,Management,Annual Tax Filing
4155,4,Baker-Middleton,5,14/09/2023,21:41:52,1200,6000,EA,Advisory,Legal Consultation
4156,9,"Myers, Kidd and Alle",1,25/03/2023,16:01:58,1500,1500,EA,Advisory,Quarterly Review
4157,2,Snow-Knight,2,15/10/2023,11:06:09,900,1800,EM,Management,Legal Consultation
4158,3,Wells and Sons,7,03/03/2023,00:17:47,900,6300,AP,Advisory,Legal Consultation
4159,1,Riley Ltd,7,08/02/2023,03:23:54,600,4200,AP,Legal,Strategy Consulting
4160,6,Jefferson-Young,7,26/01/2023,06:51:36,300,2100,AM,Tax,Strategy Consulting
4161,2,Thompson Group,6,29/04/2023,21:19:24,900,5400,EM,Management,Market Analysis
4162,9,"Norman, Ramirez and ",2,02/11/2023,08:09:19,600,1200,EM,Management,Strategy Consulting
4163,5,Jackson Ltd,8,07/06/2023,17:55:02,300,2400,AM,Audit,Legal Consultation
4164,4,"West, Ramirez and Cr",7,05/01/2023,02:44:28,900,6300,AM,Advisory,Quarterly Review
4165,6,Castillo PLC,5,07/10/2023,21:23:24,1200,6000,EA,Advisory,Legal Consultation
4166,6,Davis Inc,1,22/10/2023,06:46:01,1500,1500,EM,Advisory,Quarterly Review
4167,6,Byrd PLC,5,31/05/2023,13:33:03,600,3000,AP,Audit,Annual Tax Filing
4168,6,"Moore, Robinson and ",1,09/04/2023,06:17:58,1500,1500,AM,Management,Quarterly Review
4169,3,Villarreal and Sons,3,06/03/2023,06:24:03,300,900,AM,Audit,Quarterly Review
4170,6,Pena LLC,5,19/09/2023,04:18:52,900,4500,EA,Legal,Strategy Consulting
4171,1,Jones PLC,7,27/12/2023,09:42:13,300,2100,AP,Legal,Strategy Consulting
4172,5,"Barrett, Mitchell an",3,08/09/2023,08:57:22,1500,4500,EM,Tax,Market Analysis
4173,3,Gibson-Robbins,4,26/04/2023,05:11:02,1200,4800,EM,Advisory,Strategy Consulting
4174,1,Holland-Reilly,1,12/02/2023,06:21:14,1200,1200,AP,Legal,Annual Tax Filing
4175,6,Caldwell-Webb,1,24/02/2023,12:26:08,900,900,AP,Advisory,Market Analysis
4176,7,Gray PLC,5,18/08/2023,01:44:23,300,1500,EM,Audit,Annual Tax Filing
4177,6,Smith-Richardson,8,09/03/2023,19:29:22,1200,9600,AP,Audit,Legal Consultation
4178,4,Sullivan-Romero,1,30/12/2023,15:52:17,1200,1200,AP,Advisory,Legal Consultation
4179,1,Anderson Group,2,17/05/2023,02:09:22,1200,2400,EM,Audit,Market Analysis
4180,8,Sherman-Nguyen,8,08/01/2023,12:37:27,1200,9600,AP,Legal,Legal Consultation
4181,1,"Bennett, Scott and M",5,29/09/2023,22:57:54,600,3000,AM,Audit,Market Analysis
4182,8,Wood LLC,4,05/07/2023,23:11:48,1200,4800,EM,Audit,Quarterly Review
4183,1,Shelton PLC,8,05/04/2023,16:03:42,1200,9600,EM,Audit,Quarterly Review
4184,7,Poole-Spencer,1,23/12/2023,14:12:15,300,300,AM,Advisory,Strategy Consulting
4185,5,Guzman-Williams,2,04/01/2023,18:00:35,600,1200,EA,Tax,Annual Tax Filing
4186,9,"Perry, Hahn and Smit",7,12/02/2023,04:15:57,600,4200,EM,Advisory,Annual Tax Filing
4187,4,Collins-Zuniga,8,15/12/2023,02:13:53,300,2400,AM,Tax,Market Analysis
4188,1,Curry-Diaz,2,02/09/2023,21:29:19,300,600,EA,Legal,Legal Consultation
4189,8,Todd-Weiss,8,24/01/2023,06:15:10,300,2400,AP,Advisory,Annual Tax Filing
4190,2,"Gray, David and Alva",7,18/10/2023,19:26:06,900,6300,AP,Tax,Legal Consultation
4191,3,"Lang, Smith and Geor",1,28/08/2023,08:59:04,1500,1500,EA,Advisory,Strategy Consulting
4192,7,Brown-Morris,7,05/04/2023,10:57:16,300,2100,AM,Audit,Market Analysis
4193,9,"Manning, Odom and Wi",2,24/11/2023,09:15:47,600,1200,EM,Audit,Strategy Consulting
4194,4,Rodriguez Ltd,2,17/11/2023,00:21:16,1500,3000,EM,Audit,Annual Tax Filing
4195,3,Lane Group,1,23/11/2023,08:11:11,300,300,EM,Tax,Strategy Consulting
4196,6,Thomas and Sons,5,22/12/2023,01:44:19,1200,6000,EM,Audit,Annual Tax Filing
4197,2,Jackson LLC,8,10/04/2023,10:03:04,900,7200,EA,Tax,Quarterly Review
4198,4,"Cooper, Wilkins and ",3,22/03/2023,23:15:32,1500,4500,AP,Legal,Quarterly Review
4199,7,Edwards-Freeman,3,18/06/2023,08:25:24,1500,4500,EM,Audit,Legal Consultation
4200,7,Garcia-Little,8,04/10/2023,23:46:04,300,2400,EM,Legal,Quarterly Review
4201,4,Green PLC,6,13/05/2023,03:49:21,600,3600,AP,Legal,Legal Consultation
4202,9,Miller Ltd,1,06/08/2023,12:58:26,900,900,EA,Tax,Legal Consultation
4203,1,Mason-Clark,5,20/10/2023,01:10:52,1200,6000,AM,Audit,Quarterly Review
4204,3,Wood LLC,1,13/05/2023,20:30:54,1500,1500,AP,Advisory,Legal Consultation
4205,6,"Greer, Greene and Ra",4,09/03/2023,19:04:43,300,1200,AP,Audit,Market Analysis
4206,7,Lewis-Smith,6,05/04/2023,03:32:24,900,5400,EM,Management,Annual Tax Filing
4207,4,"Hess, Martin and Tor",4,18/11/2023,23:07:36,1500,6000,AP,Advisory,Annual Tax Filing
4208,7,"Fields, Morales and ",6,14/04/2023,05:24:13,1500,9000,EM,Tax,Strategy Consulting
4209,2,Foley-Young,4,27/12/2023,12:16:09,1200,4800,EM,Management,Strategy Consulting
4210,3,Tucker-Carr,7,30/03/2023,13:05:46,900,6300,EM,Management,Market Analysis
4211,9,"Smith, Wall and Lope",1,24/06/2023,07:32:14,900,900,EM,Tax,Strategy Consulting
4212,9,Knight Inc,6,28/01/2023,12:26:57,1200,7200,AP,Legal,Annual Tax Filing
4213,6,"Scott, Russell and E",2,11/08/2023,05:54:39,300,600,EM,Legal,Market Analysis
4214,3,Moore-Thompson,4,13/08/2023,16:17:36,1500,6000,EM,Audit,Legal Consultation
4215,4,Reese PLC,3,31/01/2023,16:56:34,900,2700,EM,Management,Annual Tax Filing
4216,3,"Hansen, Walton and B",7,10/12/2023,02:19:54,300,2100,EM,Advisory,Legal Consultation
4217,7,"Miller, Simpson and ",5,17/01/2023,01:02:20,1200,6000,EM,Legal,Strategy Consulting
4218,7,Palmer PLC,4,17/07/2023,20:32:45,600,2400,AP,Tax,Market Analysis
4219,9,Thomas Inc,7,12/07/2023,17:57:29,600,4200,AP,Legal,Quarterly Review
4220,6,Scott-Ray,7,12/05/2023,13:43:48,1200,8400,AP,Legal,Market Analysis
4221,6,"Barnett, Knight and ",2,09/09/2023,16:12:28,300,600,EA,Legal,Strategy Consulting
4222,8,"Cummings, Brown and ",1,03/09/2023,05:04:37,1200,1200,AP,Audit,Legal Consultation
4223,2,Carpenter Group,8,06/04/2023,13:49:11,900,7200,EM,Tax,Legal Consultation
4224,1,Lowe Ltd,8,03/06/2023,07:05:10,600,4800,AP,Advisory,Market Analysis
4225,3,Cooper-Carter,2,29/03/2023,05:44:57,1500,3000,AP,Audit,Legal Consultation
4226,9,"Figueroa, Nash and F",1,23/03/2023,00:12:36,1500,1500,EM,Tax,Annual Tax Filing
4227,7,Chapman Group,6,01/06/2023,23:43:13,1500,9000,AM,Management,Annual Tax Filing
4228,2,"Perkins, Benjamin an",5,23/01/2023,15:56:51,600,3000,EM,Management,Annual Tax Filing
4229,8,Villegas and Sons,1,03/04/2023,10:06:42,600,600,EM,Management,Market Analysis
4230,2,Dunn and Sons,5,05/08/2023,02:48:34,300,1500,EM,Advisory,Quarterly Review
4231,3,"Jones, Smith and Ste",1,08/06/2023,09:54:06,1500,1500,AM,Management,Strategy Consulting
4232,9,Hill and Sons,2,24/08/2023,17:46:38,600,1200,EM,Audit,Annual Tax Filing
4233,9,Vega-Campbell,6,26/10/2023,16:16:11,1200,7200,EA,Audit,Legal Consultation
4234,2,Gonzalez and Sons,3,12/10/2023,08:08:22,900,2700,AM,Audit,Legal Consultation
4235,9,"Tate, Lopez and Hump",7,14/04/2023,13:05:39,600,4200,EM,Advisory,Market Analysis
4236,7,"Bailey, Miller and P",6,27/05/2023,07:34:33,1200,7200,AP,Legal,Annual Tax Filing
4237,1,Valdez-Fleming,6,27/09/2023,20:36:20,1200,7200,EM,Legal,Legal Consultation
4238,8,"Martinez, Stanley an",7,04/08/2023,05:44:28,1500,10500,AP,Tax,Market Analysis
4239,4,Mitchell-Walker,1,27/12/2023,21:09:13,900,900,AP,Management,Quarterly Review
4240,7,"Castro, Cook and Gon",5,20/08/2023,07:03:33,1500,7500,EM,Advisory,Quarterly Review
4241,9,Branch PLC,8,25/04/2023,10:39:38,600,4800,AM,Advisory,Quarterly Review
4242,9,Castillo-White,2,05/02/2023,05:18:22,1500,3000,AM,Audit,Legal Consultation
4243,3,Clark Inc,6,19/05/2023,19:02:24,1500,9000,AP,Tax,Quarterly Review
4244,4,Thomas and Sons,8,27/10/2023,08:43:35,300,2400,EM,Management,Strategy Consulting
4245,2,"Campbell, Johnston a",4,03/09/2023,02:14:32,600,2400,EA,Management,Market Analysis
4246,7,"Johnson, Foley and C",7,09/11/2023,11:17:52,1200,8400,AM,Advisory,Quarterly Review
4247,4,Sanders and Sons,4,23/04/2023,21:22:08,900,3600,AM,Management,Strategy Consulting
4248,2,Holmes-Diaz,1,29/12/2023,15:55:10,1200,1200,EM,Advisory,Quarterly Review
4249,1,"Robinson, Ford and A",8,04/06/2023,19:48:31,1200,9600,AP,Audit,Annual Tax Filing
4250,4,Gonzalez-Cook,6,18/08/2023,10:25:45,1500,9000,AM,Advisory,Market Analysis
4251,8,Ingram Inc,4,31/03/2023,21:41:19,300,1200,EM,Audit,Annual Tax Filing
4252,4,"Johnson, Krueger and",5,17/03/2023,06:14:49,1500,7500,EM,Advisory,Strategy Consulting
4253,8,Vega-Campbell,1,31/01/2023,19:26:07,900,900,AP,Tax,Strategy Consulting
4254,3,Campbell and Sons,2,07/04/2023,17:50:48,1500,3000,AM,Advisory,Market Analysis
4255,8,"Horn, Nichols and Li",1,23/06/2023,12:33:57,1200,1200,EM,Audit,Quarterly Review
4256,6,"Bell, George and Riv",7,23/11/2023,14:40:00,1200,8400,EA,Tax,Strategy Consulting
4257,6,Williams-Wilson,4,18/11/2023,02:28:38,1200,4800,AP,Audit,Annual Tax Filing
4258,8,Matthews Ltd,7,04/09/2023,08:59:22,900,6300,AM,Advisory,Annual Tax Filing
4259,4,Brown LLC,1,29/10/2023,22:37:47,900,900,AM,Legal,Market Analysis
4260,5,Maxwell-Harvey,3,08/11/2023,10:01:54,900,2700,EM,Advisory,Annual Tax Filing
4261,4,"Brooks, Sanders and ",5,04/12/2023,21:33:04,600,3000,AM,Advisory,Market Analysis
4262,9,"Middleton, Ortiz and",5,26/12/2023,16:00:30,1200,6000,AP,Tax,Quarterly Review
4263,7,Joyce-Kelly,1,25/02/2023,03:09:09,900,900,EM,Audit,Market Analysis
4264,4,"Richardson, Ford and",3,10/06/2023,03:18:08,1500,4500,EA,Tax,Annual Tax Filing
4265,3,Garza PLC,2,13/04/2023,16:13:17,1500,3000,AP,Legal,Legal Consultation
4266,6,"Harris, Harmon and P",1,07/08/2023,22:37:49,600,600,AM,Tax,Market Analysis
4267,6,"Smith, Taylor and Ca",2,16/04/2023,00:40:36,1500,3000,AM,Legal,Annual Tax Filing
4268,9,"Sanchez, Jackson and",5,15/01/2023,03:01:25,900,4500,AM,Tax,Legal Consultation
4269,5,Clark and Sons,2,10/07/2023,21:57:45,600,1200,EM,Management,Strategy Consulting
4270,4,Christian-Terry,5,24/10/2023,18:35:14,1200,6000,EA,Audit,Quarterly Review
4271,1,Allen-Smith,2,04/12/2023,02:33:19,900,1800,AP,Legal,Annual Tax Filing
4272,6,"Sanchez, Quinn and E",1,19/01/2023,15:00:24,1500,1500,EM,Management,Quarterly Review
4273,2,"Reid, Patrick and Th",1,19/02/2023,21:59:55,900,900,AP,Tax,Strategy Consulting
4274,9,Taylor-Harris,5,13/02/2023,09:35:39,900,4500,AM,Legal,Legal Consultation
4275,4,Johnston-Holloway,8,27/03/2023,23:09:48,900,7200,AM,Audit,Legal Consultation
4276,2,Bennett-Neal,5,23/07/2023,05:37:19,600,3000,AP,Audit,Quarterly Review
4277,3,"Beltran, Sawyer and ",2,15/02/2023,09:02:14,1500,3000,AM,Management,Legal Consultation
4278,9,Branch Inc,8,12/04/2023,22:55:39,1500,12000,AP,Management,Strategy Consulting
4279,1,Campbell Inc,8,31/10/2023,16:35:32,900,7200,AM,Legal,Strategy Consulting
4280,7,Vega PLC,2,15/03/2023,16:08:53,600,1200,EM,Tax,Quarterly Review
4281,6,King PLC,2,14/01/2023,03:55:53,900,1800,AP,Audit,Strategy Consulting
4282,4,"Shepard, Park and Mi",8,31/03/2023,11:58:40,900,7200,AP,Audit,Legal Consultation
4283,7,Smith-Duarte,7,14/06/2023,13:15:29,900,6300,AM,Legal,Strategy Consulting
4284,1,Garcia-Little,7,05/11/2023,19:55:21,600,4200,EM,Legal,Strategy Consulting
4285,8,"Lambert, Castro and ",6,06/08/2023,06:49:22,900,5400,EM,Management,Strategy Consulting
4286,6,Miller-Hubbard,3,11/10/2023,02:03:38,900,2700,AP,Advisory,Quarterly Review
4287,4,Contreras and Sons,1,01/01/2023,19:11:09,600,600,EM,Audit,Market Analysis
4288,5,"Walsh, Jackson and M",5,23/02/2023,09:53:01,1500,7500,AP,Management,Legal Consultation
4289,7,Bowman-Hansen,3,13/12/2023,18:30:40,300,900,AM,Legal,Legal Consultation
4290,5,Long-Franklin,4,21/07/2023,05:33:08,1500,6000,AP,Tax,Strategy Consulting
4291,5,Davis-Wells,6,20/06/2023,19:14:27,1500,9000,AM,Tax,Legal Consultation
4292,6,Curry-Diaz,8,19/02/2023,10:57:30,1500,12000,AM,Tax,Strategy Consulting
4293,7,Smith-Anderson,7,09/11/2023,08:30:05,900,6300,AP,Management,Market Analysis
4294,1,"Hamilton, Fox and Ro",5,08/05/2023,02:16:54,600,3000,EM,Advisory,Market Analysis
4295,3,"Snyder, Cooper and R",4,05/08/2023,14:49:04,300,1200,AM,Tax,Market Analysis
4296,3,Murphy Ltd,2,24/02/2023,19:54:43,1500,3000,EA,Legal,Strategy Consulting
4297,1,Davis-Owens,6,18/07/2023,14:49:58,1500,9000,AP,Advisory,Legal Consultation
4298,4,"Lewis, Hudson and Ca",4,21/07/2023,13:38:22,1200,4800,EA,Management,Strategy Consulting
4299,7,Carpenter-Weaver,7,20/02/2023,16:36:48,900,6300,AP,Audit,Market Analysis
4300,5,Cole-Barry,6,15/06/2023,21:03:46,300,1800,EM,Management,Legal Consultation
4301,1,Golden-Michael,2,23/01/2023,21:51:34,900,1800,EM,Audit,Quarterly Review
4302,5,"Foster, Harvey and B",4,24/07/2023,20:54:54,900,3600,EM,Advisory,Legal Consultation
4303,2,Wheeler PLC,6,24/04/2023,13:57:23,1500,9000,EA,Advisory,Market Analysis
4304,8,Soto-Weaver,1,12/06/2023,00:24:40,1200,1200,EA,Advisory,Quarterly Review
4305,6,Wilson-Baker,5,01/06/2023,02:02:31,1200,6000,EM,Management,Quarterly Review
4306,7,Jackson-Watson,6,14/09/2023,20:48:45,1200,7200,EM,Management,Quarterly Review
4307,3,Mitchell-Schultz,3,15/12/2023,20:02:00,900,2700,AP,Advisory,Legal Consultation
4308,6,Martin-Johnson,5,14/06/2023,18:58:24,1200,6000,AM,Advisory,Legal Consultation
4309,2,Green Ltd,8,12/12/2023,10:09:45,300,2400,EM,Audit,Legal Consultation
4310,7,Wright-Rodriguez,5,23/07/2023,03:00:19,900,4500,EM,Tax,Annual Tax Filing
4311,6,"Beck, Perez and Hern",1,15/09/2023,18:33:26,1500,1500,AM,Legal,Legal Consultation
4312,3,"Howard, Lopez and Ma",7,01/07/2023,13:09:05,300,2100,AM,Management,Strategy Consulting
4313,3,"Thompson, Butler and",1,13/06/2023,03:35:58,1500,1500,AP,Audit,Legal Consultation
4314,2,Young-Leon,7,12/03/2023,10:09:56,1500,10500,AM,Tax,Legal Consultation
4315,1,"Rodriguez, Santiago ",1,14/04/2023,16:45:34,1500,1500,EA,Audit,Market Analysis
4316,6,"Gomez, White and Fer",7,13/03/2023,00:57:47,900,6300,AM,Legal,Legal Consultation
4317,1,Perry-Moyer,4,10/12/2023,10:52:06,1500,6000,AP,Tax,Market Analysis
4318,8,"Smith, Anderson and ",8,30/12/2023,09:28:11,600,4800,AP,Tax,Market Analysis
4319,8,"Johnson, Dawson and ",6,11/02/2023,13:42:30,900,5400,AP,Tax,Strategy Consulting
4320,2,Powell-Leon,2,02/06/2023,00:07:28,300,600,AP,Management,Legal Consultation
4321,5,Garza-Moore,1,16/08/2023,18:13:58,300,300,EA,Management,Annual Tax Filing
4322,6,Hammond and Sons,2,20/04/2023,08:10:30,300,600,EM,Advisory,Strategy Consulting
4323,5,Harris PLC,8,29/11/2023,10:40:54,900,7200,AP,Audit,Market Analysis
4324,8,"Davidson, Richardson",7,22/04/2023,15:40:29,1200,8400,EM,Tax,Legal Consultation
4325,9,"Molina, Robertson an",6,30/12/2023,02:20:07,1500,9000,AP,Management,Strategy Consulting
4326,5,Munoz-Walker,1,15/06/2023,12:29:57,300,300,AP,Tax,Strategy Consulting
4327,7,Kelly Inc,5,31/08/2023,18:34:50,600,3000,EM,Tax,Quarterly Review
4328,2,Wilson-Scott,3,06/02/2023,07:34:40,900,2700,EM,Tax,Quarterly Review
4329,5,"Khan, Smith and Harv",6,05/10/2023,22:14:10,300,1800,AP,Audit,Quarterly Review
4330,5,Matthews PLC,7,10/11/2023,09:10:35,900,6300,AP,Audit,Strategy Consulting
4331,6,Jones-Watson,3,30/01/2023,10:27:27,900,2700,AM,Audit,Strategy Consulting
4332,5,Mendoza-Daniels,2,03/02/2023,11:42:14,900,1800,EM,Advisory,Quarterly Review
4333,7,Cox-Lee,2,24/12/2023,21:46:25,900,1800,AP,Advisory,Market Analysis
4334,8,Rogers Inc,8,18/03/2023,18:34:39,300,2400,EM,Advisory,Legal Consultation
4335,9,Potter Group,5,13/10/2023,00:24:29,1500,7500,EM,Management,Strategy Consulting
4336,2,Alvarado PLC,7,22/05/2023,23:50:13,1500,10500,EM,Audit,Strategy Consulting
4337,5,Nixon PLC,4,02/06/2023,14:57:18,900,3600,EM,Legal,Market Analysis
4338,1,Williams Inc,4,19/02/2023,03:28:05,1200,4800,EM,Management,Legal Consultation
4339,4,"Mitchell, Middleton ",4,01/05/2023,08:58:54,300,1200,EM,Tax,Strategy Consulting
4340,9,Maxwell-Harvey,7,11/01/2023,23:18:34,1500,10500,AM,Tax,Annual Tax Filing
4341,4,Galloway Group,7,10/03/2023,07:46:58,1200,8400,AM,Audit,Annual Tax Filing
4342,9,Smith Inc,6,02/12/2023,01:35:09,900,5400,EM,Advisory,Strategy Consulting
4343,7,Smith Inc,6,29/10/2023,19:28:42,300,1800,EM,Management,Strategy Consulting
4344,4,Whitehead LLC,7,01/05/2023,20:42:57,900,6300,AP,Advisory,Market Analysis
4345,6,Simpson-Garza,8,02/03/2023,22:19:56,900,7200,AP,Audit,Market Analysis
4346,6,"Conley, Stevens and ",2,14/03/2023,18:47:00,300,600,AP,Management,Annual Tax Filing
4347,6,Harrell Ltd,4,24/12/2023,06:16:59,300,1200,AM,Legal,Quarterly Review
4348,2,Miles LLC,3,15/08/2023,01:55:06,300,900,AM,Legal,Annual Tax Filing
4349,9,"Mccarty, Thornton an",7,30/07/2023,18:24:31,1200,8400,EM,Legal,Market Analysis
4350,2,"Graham, Coffey and T",5,02/02/2023,11:15:12,1500,7500,EM,Management,Quarterly Review
4351,8,Villa Group,6,10/09/2023,09:08:23,1500,9000,EM,Legal,Market Analysis
4352,8,Henderson Inc,1,06/12/2023,09:03:03,1500,1500,AP,Legal,Strategy Consulting
4353,7,"Page, Escobar and Ce",5,16/04/2023,20:25:20,300,1500,EM,Audit,Legal Consultation
4354,5,Kent PLC,7,02/12/2023,08:46:16,1500,10500,AP,Legal,Strategy Consulting
4355,6,Frederick PLC,1,13/07/2023,05:48:03,600,600,AP,Legal,Legal Consultation
4356,3,Jenkins Group,2,24/03/2023,09:53:46,600,1200,AM,Audit,Annual Tax Filing
4357,3,"Greene, Bond and Smi",6,14/11/2023,15:39:08,900,5400,AM,Legal,Quarterly Review
4358,6,"Johnson, Martin and ",1,15/03/2023,12:24:50,300,300,AM,Audit,Legal Consultation
4359,1,Wilcox-Hernandez,6,04/02/2023,05:22:07,1500,9000,EM,Advisory,Strategy Consulting
4360,1,Mason Inc,4,03/08/2023,16:14:30,900,3600,EM,Legal,Quarterly Review
4361,4,"Green, Velasquez and",7,09/09/2023,05:11:23,1500,10500,EM,Advisory,Quarterly Review
4362,1,"Beck, Perez and Hern",2,03/04/2023,08:41:01,1500,3000,AP,Tax,Annual Tax Filing
4363,4,Vaughn-Santiago,1,14/03/2023,11:57:01,300,300,AP,Management,Quarterly Review
4364,5,"Smith, Mann and Jenn",4,06/02/2023,06:21:30,1200,4800,EA,Advisory,Legal Consultation
4365,7,Nielsen-Campbell,6,15/03/2023,06:32:53,900,5400,EM,Audit,Annual Tax Filing
4366,5,"Martinez, Lopez and ",3,14/09/2023,19:11:53,900,2700,AP,Advisory,Annual Tax Filing
4367,9,Sweeney-Johnson,7,16/04/2023,08:42:47,1200,8400,AM,Management,Legal Consultation
4368,3,Nunez and Sons,7,28/01/2023,10:44:20,300,2100,AP,Tax,Quarterly Review
4369,5,Garner-Martinez,4,12/07/2023,07:51:47,300,1200,EM,Legal,Market Analysis
4370,6,Dunn LLC,4,11/07/2023,22:09:49,1200,4800,AP,Management,Market Analysis
4371,2,Martin-Carlson,6,22/05/2023,05:38:26,1500,9000,AP,Tax,Annual Tax Filing
4372,2,White Inc,3,22/09/2023,14:13:14,900,2700,EM,Legal,Quarterly Review
4373,6,Durham-Weaver,6,30/12/2023,17:18:43,1200,7200,AP,Advisory,Annual Tax Filing
4374,1,Barrera Ltd,1,15/10/2023,20:06:05,1200,1200,AM,Audit,Market Analysis
4375,2,Ortega Ltd,8,10/12/2023,07:29:10,1500,12000,EM,Advisory,Legal Consultation
4376,9,"Miller, Baldwin and ",1,09/09/2023,19:44:08,600,600,EA,Tax,Annual Tax Filing
4377,1,"Goodman, Ballard and",7,22/11/2023,05:56:50,300,2100,AM,Advisory,Annual Tax Filing
4378,6,Harrison Inc,1,16/02/2023,00:35:01,1200,1200,EA,Legal,Legal Consultation
4379,5,"Donovan, Pratt and L",6,01/02/2023,08:34:08,900,5400,EM,Management,Legal Consultation
4380,1,James-Boone,7,16/04/2023,23:20:18,1200,8400,EM,Advisory,Market Analysis
4381,8,Rodriguez Group,4,01/05/2023,13:37:47,300,1200,EM,Legal,Market Analysis
4382,3,"Blackwell, Nunez and",8,28/08/2023,11:33:50,1500,12000,AP,Tax,Quarterly Review
4383,5,Shelton and Sons,6,17/08/2023,22:04:34,1500,9000,AM,Advisory,Legal Consultation
4384,4,Walker LLC,2,24/03/2023,09:39:17,300,600,EM,Tax,Quarterly Review
4385,6,Brown Ltd,1,15/06/2023,13:49:51,1200,1200,EM,Audit,Strategy Consulting
4386,2,Williams-Fowler,8,07/09/2023,00:34:13,1500,12000,AM,Management,Annual Tax Filing
4387,2,"Nash, Walker and Mcf",6,12/04/2023,05:17:50,300,1800,EM,Audit,Annual Tax Filing
4388,7,"Ford, Valenzuela and",6,07/06/2023,15:06:32,900,5400,AP,Advisory,Market Analysis
4389,3,"Taylor, Ponce and Re",2,31/03/2023,15:42:23,1500,3000,EM,Management,Annual Tax Filing
4390,5,"Livingston, Day and ",8,11/04/2023,03:36:53,1500,12000,AM,Tax,Strategy Consulting
4391,5,Wade-Miller,2,15/01/2023,10:03:55,1500,3000,AM,Legal,Annual Tax Filing
4392,7,Morrow Inc,7,12/05/2023,21:42:48,1500,10500,EM,Audit,Quarterly Review
4393,9,Shields-Leon,7,21/12/2023,18:11:40,600,4200,AM,Tax,Quarterly Review
4394,5,"Reynolds, Mccullough",4,10/04/2023,22:58:22,600,2400,AM,Management,Annual Tax Filing
4395,7,"Watson, Watson and P",2,08/12/2023,14:27:34,1500,3000,AP,Legal,Strategy Consulting
4396,6,Mitchell Ltd,1,11/11/2023,11:05:47,300,300,AP,Legal,Legal Consultation
4397,5,Hall Group,2,05/01/2023,14:00:55,1200,2400,AP,Management,Legal Consultation
4398,5,Harvey-Serrano,1,26/08/2023,16:05:37,1200,1200,EA,Tax,Legal Consultation
4399,7,Contreras and Sons,7,25/07/2023,08:49:47,300,2100,EM,Management,Legal Consultation
4400,1,Smith-Russell,6,15/06/2023,19:25:59,300,1800,EM,Audit,Quarterly Review
4401,7,"Jones, Grant and Per",5,17/11/2023,23:19:34,600,3000,AP,Tax,Quarterly Review
4402,9,Lucas Group,3,19/05/2023,02:28:38,1500,4500,AP,Audit,Quarterly Review
4403,2,Estrada-Benson,7,19/06/2023,09:11:15,300,2100,EM,Advisory,Legal Consultation
4404,9,Williams-Leonard,1,21/05/2023,23:20:44,900,900,EM,Audit,Legal Consultation
4405,8,"Strickland, Mccormic",1,27/03/2023,00:09:28,900,900,EM,Audit,Market Analysis
4406,8,Malone PLC,3,24/09/2023,14:02:55,1200,3600,AM,Audit,Market Analysis
4407,7,"Richards, Oliver and",6,03/05/2023,22:11:22,600,3600,EM,Tax,Strategy Consulting
4408,4,Smith-Ward,6,25/04/2023,02:24:42,600,3600,AP,Legal,Quarterly Review
4409,9,"Byrd, Stone and Sims",7,18/02/2023,02:37:05,1500,10500,AP,Advisory,Legal Consultation
4410,3,Calhoun LLC,1,11/11/2023,16:13:49,1500,1500,EA,Audit,Legal Consultation
4411,2,Byrd PLC,5,21/05/2023,18:09:16,300,1500,AP,Audit,Annual Tax Filing
4412,7,Mendez-Jones,4,29/04/2023,17:42:52,1500,6000,AM,Management,Quarterly Review
4413,2,Bradford-Brown,2,28/06/2023,03:44:50,300,600,AP,Legal,Strategy Consulting
4414,6,Gibbs-Garcia,6,30/08/2023,06:04:25,1200,7200,EA,Legal,Strategy Consulting
4415,5,Wright Inc,5,30/07/2023,23:41:45,900,4500,AM,Advisory,Strategy Consulting
4416,4,Huynh LLC,7,13/11/2023,17:45:58,900,6300,EM,Tax,Strategy Consulting
4417,7,Riley Ltd,2,07/10/2023,23:55:22,1200,2400,AM,Management,Quarterly Review
4418,2,"Foster, Lopez and Na",4,01/11/2023,13:32:23,900,3600,EM,Legal,Market Analysis
4419,2,Lewis-Mason,3,02/05/2023,02:17:15,900,2700,EM,Advisory,Annual Tax Filing
4420,2,"Mason, Gray and Garc",6,28/12/2023,10:46:23,1500,9000,EA,Audit,Annual Tax Filing
